"ParameterCode","ParameterName","ParameterUnit","SiteCode","SiteName","ZeroOne"
"QT-10-05","Feed Redox","mV","","","1"
"QT-10-02","Feed Conductivity","müS/cm","","","1"
"PT-10-01","Feed pressure NF before restriction","bar","","","1"
"PT-10-02","Feed pressure NF after restriction","bar","","","1"
"FT-10-01","Feed flow","m³/h","","","1"
"FP-10-01","Flow Feed puls","m³","","","0"
"TT-10-01","Feed temperature","°C","","","1"
"LT-10-02","Feed tank Level","%","","","0"
"FT-30-12","Concentrate or CEC flow","m³/h","","","1"
"FP-30-12","Flow CEC puls","m³","","","0"
"FT-30-13","Circulation flow","m³/h","","","1"
"FP-30-123","Flow Circulation","m³","","","0"
"PT-20-01","Permeat pressure","bar","","","1"
"PT-10-10","Concentrate pressure","bar","","","1"
"PT-10-11","Circulation pressure","bar","","","1"
"QT-10-03","Circulation pH","pH","","","1"
"QT-30-01","Circulation Redox","mV","","","1"
"TT-10-02","Circulation Temperature","°C","","","1"
"QT-10-04","Circulation Conductivity","müS/cm","","","1"
"QT-20-01","Permeat Conductivity","müS/cm","","","1"
"QT-20-02","Permeat Redox","mV","","","1"
"FT-40-02","Air flow","m³/h","","","0"
"FT-20-01","Backwash flow","m³/h","","","1"
"FP-20-01","Backwash flow puls","m³","","","0"
"PT-20-02","Backwash pressure before restriction","bar","","","1"
"PT-20-03","Backwash pressure after restriction","bar","","","1"
"LT-20-01","Level Backwash / permeat","%","","","1"
"QT-10-01-turb","Feed Turbidity","NTU","","","1"
"QT-10-01-uv","Feed UV254","Abs/m","","","1"
"QT-10-01-col","Feed Color","Hazen","","","1"
"QT-20-03-turb","Permeate Turbidity","NTU","","","1"
"QT-20-03-uv","Permeate UV254","Abs/m","","","1"
"QT-20-03-col","Permeate Color","Hazen","","","1"
"FY-20-01","Filtration flow","m³/h","","","1"
"FPY-20-01","Filtration volume","m³","","","0"
"QY-20-01","Filtration flux","l/m²/h","","","1"
"FY-20-02","Flush flow","m³/h","","","1"
"PY-20-01","TMP","bar","","","1"
"QY-20-03","Permeability","l/m³/h/bar","","","1"
"QY-20-04","Temperature correction factor","-","","","0"
"QY-20-05","Crossflow velocity 2","m/s","","","1"
"QY-20-06","Retention conductivity","%","","","1"
"PY-20-02","Pressure drop","bar","","","1"
"OM","Operation Mode","-","","","0"
"Crossflow","Crossflow velocity","m/s","","","1"
"TMP","Trans membrane pressure (TMP)","bar","","","0"
"TMP_TC","TMP temperature corrected","bar","","","1"
"Pressure Drop","Pressure drop temperature","bar","","","0"
"Permeability","Permeability 2","l/m³/h/bar","","","0"
"Resistance","Resistance","*10^12 *(1/m)","","","1"
"Flux","Flux","l/m³/h","","","0"
"Ret EGV","Retention EGV","%","","","0"
"Viscosity","Viscosity","Pa*s","","","0"
"TCF","Temperature correction factor 2","-","","","0"
"P-10-01","P-10-01","","","","0"
"P-30-12","P-30-12","","","","0"
"P-30-13","P-30-13","","","","0"
"P-20-01","P-20-01","","","","0"
"P-51-01","P-51-01","","","","0"
"P-52-01","P-52-01","","","","0"
"P-53-01","P-53-01","","","","0"
"P-54-01","P-54-01","","","","0"
"PILOTMODE","PILOTMODE","","","","0"
"OM_1","OM_2","","","","0"
"SV Filtration time","SV Filtration time","","","","0"
"SV Filtration flux","SV Filtration flux","","","","0"
"SV Crossflow velocity","SV Crossflow velocity","","","","0"
"Coagulant dosing","Coagulant dosing","","","","0"
"SV Coagulant stock","SV Coagulant stock","","","","0"
"TempProg1","TempProg1","","","","0"
